,ID tienda ,Nombre Tienda,Formato Tienda,Municipio,Estado,Calle y Número,Colonia,CP,Coordenadas,Latitud,Longitud
754,975,SANTA FE TIJUANA,HÍPER,TIJUANA,BAJA CALIFORNIA,ORIENTE 7002,LOMAS DEL MAR,22564.0,"32.4464,-117.0347",32.4464,-117.0347
758,980,PLAZA OASIS,HÍPER,TIJUANA,BAJA CALIFORNIA,BLVD. REAL DE BAJA CALIFORNIA 23911,REAL DE SAN FRANCISCO,22236.0,"32.4842,-116.8489",32.4842,-116.8489
765,987,REFUGIO,HÍPER,TIJUANA,BAJA CALIFORNIA,BLVD. EL REFUGIO 22245,EL FLORIDO 4,22245.0,"32.4665,-116.8627",32.4665,-116.8627
768,992,CALAFIA,HÍPER,MEXICALI,BAJA CALIFORNIA,CALZ. LIC. ADOLFO LOPEZ MATEOS 1100,ZONA INDUSTRIAL,21010.0,"32.6420,-115.4697",32.642,-115.4697
769,993,ANAHUAC,HÍPER,MEXICALI,BAJA CALIFORNIA,CALZ. ANAHUAC 1301,RESIDENCIAL CASA MAGNA,21380.0,"32.5934,-115.4754",32.5934,-115.4754
770,994,TRANSPENINSULAR,HÍPER,ENSENADA,BAJA CALIFORNIA,CARRETERA TRANSPENINSULAR 100,CARLOS PACHECO,22890.0,"31.8501,-116.6063",31.8501,-116.6063
771,995,MISION,HÍPER,ENSENADA,BAJA CALIFORNIA,AV. REFORMA 1122,COMERCIAL MISION,22830.0,"31.8707,-116.6074",31.8707,-116.6074
776,1001,TORREON,CITY CLUB,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. REVOLUCION 4100,FRACC. LOS ANGELES,27267.0,"25.5326,-103.4034",25.5326,-103.4034
777,1002,MONCLOVA,CITY CLUB,MONCLOVA,COAHUILA DE ZARAGOZA,HUEMAC 1101,ANAHUAC,25750.0,"26.9014,-101.4356",26.9014,-101.4356
778,1003,CHIHUAHUA,CITY CLUB,CHIHUAHUA,CHIHUAHUA,AV. PERIFERICO DE LA JUVENTUD 6302,FRACC. LOS MEZQUITES,31125.0,"28.6679,-106.1289",28.6679,-106.1289
779,1004,SALTILLO,CITY CLUB,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LUIS ECHEVERRIA 6385,SAN RAMON,25020.0,"25.4177,-100.9709",25.4177,-100.9709
785,1010,SAN LUCAS,CITY CLUB,LOS CABOS,BAJA CALIFORNIA SUR,BLVD. LAZARO CARDENAS ,MEDANO,23450.0,"22.8926,-109.9060",22.8926,-109.906
786,1011,TAMPICO,CITY CLUB,TAMPICO,TAMAULIPAS,AV. EJERCITO MEXICANO 1103,TAMPICO,89137.0,"22.2520,-97.8607",22.252,-97.8607
787,1012,LA PAZ,CITY CLUB,LA PAZ,BAJA CALIFORNIA SUR,CARABINEROS 4010,EX-BASE AEREA,23050.0,"24.1271,-110.3144",24.1271,-110.3144
788,1013,NUEVO LAREDO,CITY CLUB,NUEVO LAREDO,TAMAULIPAS,15 DE SEPTIEMBRE 3001,CAMPESTRE,88278.0,"27.4567,-99.5114",27.4567,-99.5114
789,1014,REYNOSA,CITY CLUB,REYNOSA,TAMAULIPAS,SEXTA SUR 205,LAS FUENTES,88710.0,"26.0722,-98.3209",26.0722,-98.3209
790,1015,DURANGO,CITY CLUB,DURANGO,DURANGO,AV. HEROICO COLEGIO MILITAR 109,NUEVA VIZCAYA,34080.0,"24.0301,-104.6437",24.0301,-104.6437
794,1019,GÓMEZ PALACIO,CITY CLUB,GÓMEZ PALACIO,DURANGO,BLVD. MIGUEL ALEMAN OTE. 117 B,EL CONSUELO,35000.0,"25.5492,-103.4818",25.5492,-103.4818
797,1022,HERMOSILLO,CITY CLUB,HERMOSILLO,SONORA,BLVD. RIO SONORA NORTE 128 A,PROYECTO RIO SONORA,83270.0,"29.0700,-110.9698",29.07,-110.9698
798,1023,CULIACÁN,CITY CLUB,CULIACÁN,SINALOA,BLVD. UNIVERSITARIOS PTE 435 A,DESARROLLO URBANO TRES RIOS,80027.0,"24.8349,-107.3993",24.8349,-107.3993
800,1025,SAN JOSÉ VIEJO,CITY CLUB,LOS CABOS,BAJA CALIFORNIA SUR,CARRETERA TRANSPENINSULAR S/N,SAN JOSE AEROPUERTO,23550.0,"23.1140,-109.7142",23.114,-109.7142
808,1033,PIEDRAS NEGRAS,CITY CLUB,PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,AMPLIACION REPUBLICA 1800,DEL LAGO,26069.0,"28.7022,-100.5598",28.7022,-100.5598
811,1036,SUPER LEY EXPRESS EL CARRIZO,CASA LEY,AHOME,SINALOA,,,,"26.2666759,-109.0416946",26.2666759,-109.0416946
812,1037,LEY EXPRESS AHOME,CASA LEY,AHOME,SINALOA,,,,"25.77027,-108.962560",25.77027,-108.96256
813,1038,LEY EXPRESS LA REFORMA,CASA LEY,ANGOSTURA,SINALOA,,,,"25.0821821,-108.0552082",25.0821821,-108.0552082
814,1039,LEY EXPRESS BADIRAGUATO,CASA LEY,BADIRAGUATO,SINALOA,,,,"25.3663918,-107.55272",25.3663918,-107.55272
815,1040,LEY EXPRESS CHOIX,CASA LEY,CHOIX,SINALOA,,,,"26.7101209,-108.333323",26.7101209,-108.333323
816,1041,SUPER LEY COSTA RICA,CASA LEY,COSTA RICA,SINALOA,,,,"24.5933333,-107.3927778",24.5933333,-107.3927778
817,1042,PLAZA LEY,CASA LEY,CULIACÁN,SINALOA,,,,"24.7766324,-107.4442162",24.7766324,-107.4442162
818,1043,LEY ABASTOS,CASA LEY,CULIACÁN,SINALOA,,,,"24.7680225,-107.3645706",24.7680225,-107.3645706
819,1044,LEY PALMITO,CASA LEY,CULIACÁN,SINALOA,,,,"24.7852936,-107.4281082",24.7852936,-107.4281082
820,1045,LEY EXPRESS SANALONA,CASA LEY,CULIACÁN,SINALOA,,,,"24.8039081,-107.3606992",24.8039081,-107.3606992
821,1046,LEY EXPRESS LA ESPERANZA,CASA LEY,CULIACÁN,SINALOA,,,,"24.7847098,-107.3611736",24.7847098,-107.3611736
822,1047,LEY CALZADA,CASA LEY,CULIACÁN,SINALOA,,,,"24.7831487,-107.3770838",24.7831487,-107.3770838
823,1048,SUPER LEY EXPRESS ORQUÍDEAS,CASA LEY,CULIACÁN,SINALOA,,,,"24.84151,-107.4266288",24.84151,-107.4266288
824,1049,SUPER LEY EXPRESS UNIVERSITARIOS,CASA LEY,CULIACÁN,SINALOA,,,,"24.8320739,-107.3993544",24.8320739,-107.3993544
825,1050,LEY PASEO SAN ISIDRO,CASA LEY,CULIACÁN,SINALOA,,,,"24.7561159,-107.4118778",24.7561159,-107.4118778
826,1051,LEY EXPRESS EL ROSARIO,CASA LEY,EL ROSARIO,SINALOA,,,,"22.9996282,-105.8693983",22.9996282,-105.8693983
827,1052,LEY ESCUINAPA,CASA LEY,ESCUINAPA,SINALOA,,,,"22.8325943,-105.7839571",22.8325943,-105.7839571
828,1053,SUPER LEY INGENIO EL DORADO,CASA LEY,EL DORADO,SINALOA,,,,"24.59269,-107.7297442",24.59269,-107.7297442
829,1054,LEY EXPRESS EL FUERTE,CASA LEY,EL FUERTE,SINALOA,,,,"26.4147746,-108.6232742",26.4147746,-108.6232742
830,1055,LEY GUAMÚCHIL,CASA LEY,GUAMÚCHIL,SINALOA,,,,"25.4599977,-108.0942185",25.4599977,-108.0942185
831,1056,LEY PLAZA DEL EVORA,CASA LEY,GUAMÚCHIL,SINALOA,,,,"25.4526628,-108.0818649",25.4526628,-108.0818649
832,1057,LEY EXPRESS CBTIS,CASA LEY,GUAMÚCHIL,SINALOA,,,,"25.4584096,-108.0726319",25.4584096,-108.0726319
833,1058,LEY JUAN JOSÉ RIOS,CASA LEY,JUAN JOSÉ RIOS,SINALOA,,,,"25.7581011,-108.8275848",25.7581011,-108.8275848
834,1059,LEY PLAZA GUASAVE,CASA LEY,GUASAVE,SINALOA,,,,"25.5669214,-108.477649",25.5669214,-108.477649
835,1060,LEY MADERO,CASA LEY,GUASAVE,SINALOA,,,,"25.5656974,-108.4617772",25.5656974,-108.4617772
836,1061,LEY LAS FUENTES,CASA LEY,GUASAVE,SINALOA,,,,"25.5801257,-108.4713868",25.5801257,-108.4713868
837,1062,LEY EXPRESS LA CRUZ,CASA LEY,LA CRUZ DE ELOTA,SINALOA,,,,"23.9162076,-106.896566",23.9162076,-106.896566
838,1063,LEY NAVOLATO,CASA LEY,NAVOLATO,SINALOA,,,,"24.7660883,-107.7023402",24.7660883,-107.7023402
839,1064,SUPER LEY LA PRIMAVERA,CASA LEY,NAVOLATO,SINALOA,,,,"24.7628861,-107.7079582",24.7628861,-107.7079582
840,1065,PLAZA FIESTA LAS PALMAS,CASA LEY,LOS MOCHIS,SINALOA,,,,"25.7905148,-109.0103011",25.7905148,-109.0103011
841,1066,LEY TABACHINES,CASA LEY,LOS MOCHIS,SINALOA,,,,"25.7893238,-108.9842797",25.7893238,-108.9842797
842,1067,LEY JIQUILPAN,CASA LEY,LOS MOCHIS,SINALOA,,,,"25.807394,-108.9984093",25.807394,-108.9984093
843,1068,LEY EXPRESS MORELOS,CASA LEY,LOS MOCHIS,SINALOA,,,,"25.763996,-108.9987568",25.763996,-108.9987568
844,1069,PLAZA LEY MAZATLÁN,CASA LEY,MAZATLÁN,SINALOA,,,,"23.2221898,-106.4289396",23.2221898,-106.4289396
845,1070,LEY MERCADO,CASA LEY,MAZATLÁN,SINALOA,,,,"23.203392,-106.4190444",23.203392,-106.4190444
846,1071,LEY PLAZA EL MAR,CASA LEY,MAZATLÁN,SINALOA,,,,"23.2454693,-106.4275515",23.2454693,-106.4275515
847,1072,LEY EL CONCHI,CASA LEY,MAZATLÁN,SINALOA,,,,"23.2419695,-106.4000344",23.2419695,-106.4000344
848,1073,LEY CERRO COLORADO,CASA LEY,MAZATLÁN,SINALOA,,,,"23.2280573,-106.3939298",23.2280573,-106.3939298
849,1074,SUPER LEY EXPRESS MOCORITO,CASA LEY,MOCORITO,SINALOA,,,,"25.4795814,-107.9273544",25.4795814,-107.9273544
850,1075,LEY EXPRESS PERICOS,CASA LEY,PERICOS,SINALOA,,,,"25.3664061,-107.5592915",25.3664061,-107.5592915
851,1076,LEY EXPRESS QUILÁ,CASA LEY,QUILÁ,SINALOA,,,,"24.421446,-107.2298057",24.421446,-107.2298057
852,1077,LEY EXPRESS SAN IGNACIO,CASA LEY,SAN IGNACIO,SINALOA,,,,"23.9396909,-106.4389947",23.9396909,-106.4389947
853,1078,SUPER LEY EXPRESS LA PALMA,CASA LEY,VILLA ÁNGEL FLORES,SINALOA,,,,"24.817367,-107.6547836",24.817367,-107.6547836
854,1079,,CASA LEY,VILLA BENITO JUÁREZ,SINALOA,,,,"24.6575196,-107.5513543",24.6575196,-107.5513543
855,1080,LEY EXPRESS El ZAINO,CASA LEY,AGUAPRIETA,SONORA,,,,"31.3151747,-109.5521803",31.3151747,-109.5521803
856,1081,LEY PLAZA FRONTERA,CASA LEY,AGUAPRIETA,SONORA,,,,"31.3216781,-109.5516357",31.3216781,-109.5516357
857,1082,LEY CABORCA,CASA LEY,CABORCA,SONORA,,,,"30.7186988,-112.1652106",30.7186988,-112.1652106
858,1083,LEY EXPRESS CANANEA,CASA LEY,CANANEA,SONORA,,,,"30.9886769,-110.289739",30.9886769,-110.289739
859,1084,LEY EMPALME,CASA LEY,EMPALME,SONORA,,,,"27.9603363,-110.7993355",27.9603363,-110.7993355
860,1085,LEY PLAZA EL VIGIA,CASA LEY,GUAYMAS,SONORA,,,,"27.926952,-110.918898",27.926952,-110.918898
861,1086,LEY EXPRESS GUAYMAS NORTE,CASA LEY,GUAYMAS,SONORA,,,,"27.9465157,-110.9363615",27.9465157,-110.9363615
862,1087,SUPER LEY EXPRESS GUAYMAS SUR,CASA LEY,GUAYMAS,SONORA,,,,"27.9562072,-110.9213648",27.9562072,-110.9213648
863,1088,PLAZA LEY SAHUARO,CASA LEY,HERMOSILLO,SONORA,,,,"29.0963841,-111.0025623",29.0963841,-111.0025623
864,1089,LEY BOULEVARD,CASA LEY,HERMOSILLO,SONORA,,,,"29.0849742,-110.9550857",29.0849742,-110.9550857
865,1090,LEY CENTRO,CASA LEY,HERMOSILLO,SONORA,,,,"29.0795316,-110.95963",29.0795316,-110.95963
866,1091,LEY KINO,CASA LEY,HERMOSILLO,SONORA,,,,"29.0969629,-110.958477",29.0969629,-110.958477
867,1092,SUPER LEY BACHOCO,CASA LEY,HERMOSILLO,SONORA,,,,"29.1260722,-110.9713555",29.1260722,-110.9713555
868,1093,LEY EXPRESS VIRREYES,CASA LEY,HERMOSILLO,SONORA,,,,"29.126424,-111.0067493",29.126424,-111.0067493
869,1094,LEY HUATABAMPO,CASA LEY,HUATABAMPO,SONORA,,,,"26.8411005,-109.6498146",26.8411005,-109.6498146
870,1095,LEY PLAZA DEL MAYO,CASA LEY,NAVOJOA,SONORA,,,,"27.0691109,-109.4615384",27.0691109,-109.4615384
871,1096,LEY AVIACIÓN,CASA LEY,NAVOJOA,SONORA,,,,"27.0747304,-109.4431217",27.0747304,-109.4431217
872,1097,SUPER LEY NOGALES,CASA LEY,NOGALES,SONORA,,,,"27.0748214,-109.4693864",27.0748214,-109.4693864
873,1098,LEY EL GRECO,CASA LEY,NOGALES,SONORA,,,,"31.2917861,-110.938301",31.2917861,-110.938301
874,1099,LEY SAN MIGUEL,CASA LEY,NOGALES,SONORA,,,,"31.2752076,-110.9385189",31.2752076,-110.9385189
875,1100,LEY CAJEME,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.490704,-109.9384872",27.490704,-109.9384872
876,1101,LEY PLAZA OBREGON,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.4875787,-109.942973",27.4875787,-109.942973
877,1102,LEY CALIFORNIA,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.4825104,-109.9450531",27.4825104,-109.9450531
878,1103,LEY EXPRESS VILLA CALIFORNIA,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.4825521,-109.960374",27.4825521,-109.960374
879,1104,LEY EXPRESS BOURLAUG,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.4452833,-109.9332011",27.4452833,-109.9332011
880,1105,LEY EXPRESS VILLAS DEL REY,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.4860321,-109.9910899",27.4860321,-109.9910899
881,1106,LEY EXPRESS MIRAVALLE,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.4542934,-109.9322999",27.4542934,-109.9322999
882,1107,SUPER LEY EXPRESS PARIS,CASA LEY,CD. OBREGÓN,SONORA,,,,"27.4687985,-109.9623853",27.4687985,-109.9623853
883,1108,SUPER LEY PUERTO PEÑASCO,CASA LEY,PUERTO PEÑASCO,SONORA,,,,"31.3259672,-113.5485208",31.3259672,-113.5485208
884,1109,LEY SAN LUIS RÍO COLORADO,CASA LEY,SAN LUIS RÍO COLORADO,SONORA,,,,"32.4545599,-114.8032038",32.4545599,-114.8032038
885,1110,SÚPER LEY EXPRESS LA HERRADURA,CASA LEY,SAN LUIS RÍO COLORADO,SONORA,,,,"32.4427496,-114.7705799",32.4427496,-114.7705799
886,1111,SÚPER LEY EXPRESS REVOLUCIÓN,CASA LEY,SAN LUIS RÍO COLORADO,SONORA,,,,"32.4716718,-114.7804687",32.4716718,-114.7804687
887,1112,SÚPER LEY EXPRESS SONOYTA,CASA LEY,SONOYTA,SONORA,,,,"31.8644127,-112.8640533",31.8644127,-112.8640533
888,1113,LEY ENSENADA,CASA LEY,ENSENADA,BAJA CALIFORNIA,,,,"31.877895,-116.6198023",31.877895,-116.6198023
889,1114,LEY PÓRTICOS,CASA LEY,ENSENADA,BAJA CALIFORNIA,,,,"31.7867917,-116.5949671",31.7867917,-116.5949671
890,1115,LEY PLAZA NUEVO MEXICALI,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.6115872,-115.3940119",32.6115872,-115.3940119
891,1116,LEY PUEBLO NUEVO,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.6447379,-115.5051668",32.6447379,-115.5051668
892,1117,LEY PLAZA CACHANILLA,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.6595563,-115.4805521",32.6595563,-115.4805521
893,1118,LEY PERIFÉRICO,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.638686,-115.41731",32.638686,-115.41731
894,1119,LEY VILLAFONTANA,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.6226615,-115.4951423",32.6226615,-115.4951423
895,1120,LEY INDEPENDENCIA,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.6381414,-115.459252",32.6381414,-115.459252
896,1121,LEY EXPRESS GUADALUPE VICTORIA,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.2919662,-115.0963484",32.2919662,-115.0963484
897,1122,LEY EXPRESS CASA DIGNA,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.6005833,-115.5087116",32.6005833,-115.5087116
898,1123,SUPER LEY EXPRESS LA CONDESA,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.5962186,-115.3536175",32.5962186,-115.3536175
899,1124,SUPER LEY ORIZABA,CASA LEY,MEXICALI,BAJA CALIFORNIA,,,,"32.6480974,-115.534765",32.6480974,-115.534765
900,1125,SUPER LEY TECATE,CASA LEY,TECATE,BAJA CALIFORNIA,,,,"32.5666728,-116.6313099",32.5666728,-116.6313099
901,1126,LEY EXPRESS LA GLORIA,CASA LEY,TIJUANA,BAJA CALIFORNIA,,,,"32.4456383,-117.0110377",32.4456383,-117.0110377
902,1127,LEY OTAY,CASA LEY,TIJUANA,BAJA CALIFORNIA,,,,"32.5329596,-116.955853",32.5329596,-116.955853
903,1128,LEY CASA BLANCA,CASA LEY,TIJUANA,BAJA CALIFORNIA,,,,"32.5023349,-116.8960513",32.5023349,-116.8960513
904,1129,SUPER LEY CINCO Y DIEZ,CASA LEY,TIJUANA,BAJA CALIFORNIA,,,,"32.4964426,-116.9694114",32.4964426,-116.9694114
905,1130,LEY PLAZA EL DORADO,CASA LEY,TIJUANA,BAJA CALIFORNIA,,,,"32.4973407,-116.8688944",32.4973407,-116.8688944
906,1131,SUPER LEY SANTA ANITA,CASA LEY,TIJUANA,BAJA CALIFORNIA,,,,"32.5377275,-116.9054726",32.5377275,-116.9054726
907,1132,LEY SENDERO TIJUANA,CASA LEY,TIJUANA,BAJA CALIFORNIA,,,,"32.4552935,-116.8423445",32.4552935,-116.8423445
908,1133,LEY EXPRESS AURORAS,CASA LEY,CABO SAN LUCAS,BAJA CALIFORNIA SUR,,,,"22.8913181,-109.9433042",22.8913181,-109.9433042
909,1134,"LEY EXPRESS MESA
COLORADA",CASA LEY,LOS CABOS,BAJA CALIFORNIA SUR,,,,"22.8913132,-109.9411102",22.8913132,-109.9411102
910,1135,SUPER LEY COMONDU,CASA LEY,CD. CONSTITUCIÓN,BAJA CALIFORNIA SUR,,,,"22.8913567,-109.9564794",22.8913567,-109.9564794
911,1136,LEY EXPRESS INSURGENTES,CASA LEY,CD. INSURGENTES,BAJA CALIFORNIA SUR,,,,"22.8913567,-109.9564794",22.8913567,-109.9564794
912,1137,LEY LA PAZ,CASA LEY,LA PAZ,BAJA CALIFORNIA SUR,,,,"24.1076118,-110.3451937",24.1076118,-110.3451937
913,1138,LEY EXPRESS MIRAMAR,CASA LEY,LA PAZ,BAJA CALIFORNIA SUR,,,,"24.0893402,-110.3342074",24.0893402,-110.3342074
914,1139,LEY EXPRESS LOMALINDA,CASA LEY,LA PAZ,BAJA CALIFORNIA SUR,,,,"24.1450827,-110.2874405",24.1450827,-110.2874405
915,1140,LEY 5 DE MAYO,CASA LEY,LA PAZ,BAJA CALIFORNIA SUR,,,,"24.1579485,-110.3085137",24.1579485,-110.3085137
916,1141,LEY EXPRESS VISTA HERMOSA,CASA LEY,SAN JOSÉ DEL CABO,BAJA CALIFORNIA SUR,,,,"23.0998605,-109.7311558",23.0998605,-109.7311558
917,1142,LEY EXPRESS LORETO,CASA LEY,LORETO,BAJA CALIFORNIA SUR,,,,"26.0120558,-111.3499077",26.0120558,-111.3499077
918,1143,LEY SANTA ROSALÍA,CASA LEY,SANTA ROSALÍA,BAJA CALIFORNIA SUR,,,,"27.3438996,-112.2716565",27.3438996,-112.2716565
924,1149,LEY JUVENTUD,CASA LEY,DURANGO,DURANGO,,,,"24.0302325,-104.631146",24.0302325,-104.631146
925,1150,LEY EXPRESS FIDEL VELÁZQUEZ,CASA LEY,DURANGO,DURANGO,,,,"24.0591153,-104.6007307",24.0591153,-104.6007307
926,1151,LEY JABONERA,CASA LEY,GÓMEZ PALACIO,DURANGO,,,,"25.5746746,-103.4993273",25.5746746,-103.4993273
927,1152,LEY EXPRESS CHAPALA,CASA LEY,GÓMEZ PALACIO,DURANGO,,,,"25.5860352,-103.5279049",25.5860352,-103.5279049
